Report Date:,12/9/2016 9:53:44 AM
Report User Name:,fieldtech
Report Computer Name:,NREL-F1KAMPF
Application:,WinSitu.exe
Application Version:,5.6.24.4


Log File Properties
File Name,Stream_level_Append_2016-11-10_15-41-54-463.wsl
Create Date,11/10/2016 3:41:54 PM

Device Properties
Device,Rugged TROLL 100
Site,Dry_Creek
Device Name, 
Serial Number,351998
Firmware Version,1.02
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,24

Log Configuration
,Log Name,Stream_level
,Created By,fieldtech
,Computer Name,NREL-F1KAMPF
,Application,WinSitu.exe
,Application Version,5.6.24.4
,Create Date,9/18/2016 4:11:05 PM Mountain Standard Time (Ignore DST)
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Enabled
,Scheduled Start Time,9/18/2016 5:00:00 PM Mountain Standard Time (Ignore DST)
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00





Other Log Settings
,Depth of Probe:,25.8764 (ft)
,Head Pressure:,11.2069 (PSI)
,Temperature:,12.6302 (C)



Log Notes:
Date and Time,Note
9/18/2016 4:11:11 PM  ,Used Battery: 24% Used Memory: 6%   User Name: fieldtech
10/18/2016 11:51:10 AM,Log Download - Used Battery: 24% Used Memory: 6%   User Name: fieldtech
11/10/2016 3:41:05 PM ,Log Download - Used Battery: 25% Used Memory: 9%   User Name: fieldtech Interval -  Start Time: 10/18/2016 11:45:00 AM


Log Data:
Record Count,5083

Sensors,1

 ,1,351998,Pressure/Temp PSIA (9m/30ft)

Time Zone: Mountain Standard Time (Ignore DST)

,,Sensor: Pres(A) 30ft          ,Sensor: Pres(A) 30ft          ,
,Elapsed Time,SN#: 351998                   ,SN#: 351998                   ,
Date and Time,Seconds     ,Pressure (PSI)                ,Temperature (C)               ,
9/18/2016 5:00:00 PM  ,       0.000,                        11.278,                        10.528,
9/18/2016 5:15:00 PM  ,     900.000,                        11.276,                        10.425,
9/18/2016 5:30:00 PM  ,    1800.000,                        11.273,                        10.322,
9/18/2016 5:45:00 PM  ,    2700.000,                        11.274,                        10.219,
9/18/2016 6:00:00 PM  ,    3600.000,                        11.275,                        10.270,
9/18/2016 6:15:00 PM  ,    4500.000,                        11.274,                        10.219,
9/18/2016 6:30:00 PM  ,    5400.000,                        11.276,                        10.115,
9/18/2016 6:45:00 PM  ,    6300.000,                        11.277,                        10.064,
9/18/2016 7:00:00 PM  ,    7200.000,                        11.275,                        10.064,
9/18/2016 7:15:00 PM  ,    8100.000,                        11.276,                        10.012,
9/18/2016 7:30:00 PM  ,    9000.000,                        11.285,                         9.909,
9/18/2016 7:45:00 PM  ,    9900.000,                        11.284,                         9.909,
9/18/2016 8:00:00 PM  ,   10800.000,                        11.292,                         9.857,
9/18/2016 8:15:00 PM  ,   11700.000,                        11.299,                         9.805,
9/18/2016 8:30:00 PM  ,   12600.000,                        11.300,                         9.805,
9/18/2016 8:45:00 PM  ,   13500.000,                        11.304,                         9.754,
9/18/2016 9:00:00 PM  ,   14400.000,                        11.306,                         9.702,
9/18/2016 9:15:00 PM  ,   15300.000,                        11.309,                         9.650,
9/18/2016 9:30:00 PM  ,   16200.000,                        11.313,                         9.598,
9/18/2016 9:45:00 PM  ,   17100.000,                        11.314,                         9.547,
9/18/2016 10:00:00 PM ,   18000.000,                        11.313,                         9.495,
9/18/2016 10:15:00 PM ,   18900.000,                        11.315,                         9.443,
9/18/2016 10:30:00 PM ,   19800.000,                        11.317,                         9.391,
9/18/2016 10:45:00 PM ,   20700.000,                        11.316,                         9.339,
9/18/2016 11:00:00 PM ,   21600.000,                        11.317,                         9.288,
9/18/2016 11:15:00 PM ,   22500.000,                        11.319,                         9.288,
9/18/2016 11:30:00 PM ,   23400.000,                        11.318,                         9.288,
9/18/2016 11:45:00 PM ,   24300.000,                        11.316,                         9.236,
9/19/2016 12:00:00 AM ,   25200.000,                        11.313,                         9.236,
9/19/2016 12:15:00 AM ,   26100.000,                        11.314,                         9.184,
9/19/2016 12:30:00 AM ,   27000.000,                        11.315,                         9.184,
9/19/2016 12:45:00 AM ,   27900.000,                        11.315,                         9.132,
9/19/2016 1:00:00 AM  ,   28800.000,                        11.317,                         9.132,
9/19/2016 1:15:00 AM  ,   29700.000,                        11.319,                         9.080,
9/19/2016 1:30:00 AM  ,   30600.000,                        11.317,                         9.028,
9/19/2016 1:45:00 AM  ,   31500.000,                        11.321,                         9.028,
9/19/2016 2:00:00 AM  ,   32400.000,                        11.320,                         8.976,
9/19/2016 2:15:00 AM  ,   33300.000,                        11.319,                         8.873,
9/19/2016 2:30:00 AM  ,   34200.000,                        11.318,                         8.821,
9/19/2016 2:45:00 AM  ,   35100.000,                        11.323,                         8.821,
9/19/2016 3:00:00 AM  ,   36000.000,                        11.324,                         8.769,
9/19/2016 3:15:00 AM  ,   36900.000,                        11.322,                         8.717,
9/19/2016 3:30:00 AM  ,   37800.000,                        11.323,                         8.665,
9/19/2016 3:45:00 AM  ,   38700.000,                        11.323,                         8.613,
9/19/2016 4:00:00 AM  ,   39600.000,                        11.326,                         8.613,
9/19/2016 4:15:00 AM  ,   40500.000,                        11.326,                         8.561,
9/19/2016 4:30:00 AM  ,   41400.000,                        11.326,                         8.509,
9/19/2016 4:45:00 AM  ,   42300.000,                        11.330,                         8.457,
9/19/2016 5:00:00 AM  ,   43200.000,                        11.327,                         8.457,
9/19/2016 5:15:00 AM  ,   44100.000,                        11.331,                         8.405,
9/19/2016 5:30:00 AM  ,   45000.000,                        11.330,                         8.405,
9/19/2016 5:45:00 AM  ,   45900.000,                        11.332,                         8.352,
9/19/2016 6:00:00 AM  ,   46800.000,                        11.334,                         8.352,
9/19/2016 6:15:00 AM  ,   47700.000,                        11.333,                         8.300,
9/19/2016 6:30:00 AM  ,   48600.000,                        11.335,                         8.300,
9/19/2016 6:45:00 AM  ,   49500.000,                        11.339,                         8.248,
9/19/2016 7:00:00 AM  ,   50400.000,                        11.337,                         8.300,
